date,country,title,importance,impact
2023-09-21T23:30:00.000Z,JPY,Inflation Rate YoY,1,
2023-09-22T03:00:00.000Z,JPY,BoJ Interest Rate Decision,1,
2023-09-22T06:00:00.000Z,GBP,Retail Sales MoM,1,
2023-09-22T07:30:00.000Z,EUR,HCOB Manufacturing PMI Flash,1,
2023-09-25T08:00:00.000Z,EUR,Ifo Business Climate,1,
2023-09-27T06:00:00.000Z,EUR,GfK Consumer Confidence,1,
2023-09-27T12:30:00.000Z,USD,Durable Goods Orders MoM,1,
2023-09-28T12:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-09-28T12:30:00.000Z,USD,GDP Growth Rate QoQ Final,1,
2023-09-29T06:45:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-09-29T09:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-09-29T09:00:00.000Z,EUR,Inflation Rate YoY Flash,1,
2023-09-29T12:30:00.000Z,USD,Core PCE Price Index MoM,1,
2023-09-29T12:30:00.000Z,USD,Personal Spending MoM,1,
2023-09-29T12:30:00.000Z,USD,Personal Income MoM,1,
2023-09-30T01:30:00.000Z,CNY,NBS Manufacturing PMI,1,
2023-10-01T01:45:00.000Z,CNY,Caixin Manufacturing PMI,1,
2023-10-01T23:50:00.000Z,JPY,Tankan Large Manufacturers Index,1,
2023-10-02T14:00:00.000Z,USD,ISM Manufacturing PMI,1,
2023-10-03T03:30:00.000Z,AUD,RBA Interest Rate Decision,1,
2023-10-03T14:00:00.000Z,USD,JOLTs Job Openings,1,
2023-10-04T14:00:00.000Z,USD,ISM Services PMI,1,
2023-10-05T00:30:00.000Z,AUD,Balance of Trade,1,
2023-10-05T06:00:00.000Z,EUR,Balance of Trade,1,
2023-10-05T14:00:00.000Z,CAD,Ivey PMI s.a,1,
2023-10-06T12:30:00.000Z,USD,Unemployment Rate,1,
2023-10-06T12:30:00.000Z,USD,Non Farm Payrolls,1,
2023-10-06T12:30:00.000Z,CAD,Unemployment Rate,1,
2023-10-09T23:30:00.000Z,AUD,Westpac Consumer Confidence Change,1,
2023-10-10T00:30:00.000Z,AUD,NAB Business Confidence,1,
2023-10-11T12:30:00.000Z,USD,PPI MoM,1,
2023-10-11T18:00:00.000Z,USD,FOMC Minutes,1,
2023-10-12T06:00:00.000Z,GBP,GDP MoM,1,
2023-10-12T12:30:00.000Z,USD,Core Inflation Rate MoM,1,
2023-10-12T12:30:00.000Z,USD,Inflation Rate MoM,1,
2023-10-12T12:30:00.000Z,USD,Core Inflation Rate YoY,1,
2023-10-12T12:30:00.000Z,USD,Inflation Rate YoY,1,
2023-10-13T01:30:00.000Z,CNY,Inflation Rate YoY,1,
2023-10-13T03:00:00.000Z,CNY,Balance of Trade,1,
2023-10-13T14:00:00.000Z,USD,Michigan Consumer Sentiment Prel,1,
2023-10-17T00:30:00.000Z,AUD,RBA Meeting Minutes,1,
2023-10-17T09:00:00.000Z,EUR,ZEW Economic Sentiment Index,1,
2023-10-17T12:30:00.000Z,USD,Retail Sales MoM,1,
2023-10-17T12:30:00.000Z,CAD,Inflation Rate YoY,1,
2023-10-18T02:00:00.000Z,CNY,Industrial Production YoY,1,
2023-10-18T02:00:00.000Z,CNY,Retail Sales YoY,1,
2023-10-18T02:00:00.000Z,CNY,GDP Growth Rate YoY,1,
2023-10-18T06:00:00.000Z,GBP,Inflation Rate YoY,1,
2023-10-18T12:30:00.000Z,USD,Building Permits Prel,1,
2023-10-18T23:50:00.000Z,JPY,Balance of Trade,1,
2023-10-19T16:00:00.000Z,USD,Fed Chair Powell Speech,1,
2023-10-19T23:30:00.000Z,JPY,Inflation Rate YoY,1,
2023-10-20T06:00:00.000Z,GBP,Retail Sales MoM,1,
2023-10-24T06:00:00.000Z,EUR,GfK Consumer Confidence,1,
2023-10-24T06:00:00.000Z,GBP,Unemployment Rate - Adjusted,1,
2023-10-24T07:30:00.000Z,EUR,HCOB Manufacturing PMI Flash,1,
2023-10-25T00:30:00.000Z,AUD,Inflation Rate YoY,1,
2023-10-25T08:00:00.000Z,EUR,Ifo Business Climate,1,
2023-10-25T14:00:00.000Z,CAD,BoC Monetary Policy Report,1,
2023-10-25T20:35:00.000Z,USD,Fed Chair Powell Speech,1,
2023-10-26T12:15:00.000Z,EUR,ECB Interest Rate Decision,1,
2023-10-26T12:30:00.000Z,USD,Durable Goods Orders MoM,1,
2023-10-26T12:30:00.000Z,USD,GDP Growth Rate QoQ Adv,1,
2023-10-26T12:45:00.000Z,EUR,ECB Press Conference,1,
2023-10-27T12:30:00.000Z,USD,Core PCE Price Index MoM,1,
2023-10-27T12:30:00.000Z,USD,Personal Income MoM,1,
2023-10-27T12:30:00.000Z,USD,Personal Spending MoM,1,
2023-10-30T09:00:00.000Z,EUR,GDP Growth Rate QoQ Flash,1,
2023-10-30T09:00:00.000Z,EUR,GDP Growth Rate YoY Flash,1,
2023-10-30T13:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-10-31T01:30:00.000Z,CNY,NBS Manufacturing PMI,1,
2023-10-31T03:00:00.000Z,JPY,BoJ Interest Rate Decision,1,
2023-10-31T06:30:00.000Z,EUR,GDP Growth Rate YoY Prel,1,
2023-10-31T06:30:00.000Z,EUR,GDP Growth Rate QoQ Prel,1,
2023-10-31T07:45:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-10-31T09:00:00.000Z,EUR,GDP Growth Rate QoQ Adv,1,
2023-10-31T09:00:00.000Z,EUR,GDP Growth Rate YoY Adv,1,
2023-10-31T10:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-10-31T10:00:00.000Z,EUR,Inflation Rate YoY Flash,1,
2023-10-31T10:00:00.000Z,EUR,GDP Growth Rate YoY Flash,1,
2023-10-31T10:00:00.000Z,EUR,GDP Growth Rate QoQ Flash,1,
2023-11-01T01:45:00.000Z,CNY,Caixin Manufacturing PMI,1,
2023-11-01T14:00:00.000Z,USD,ISM Manufacturing PMI,1,
2023-11-01T14:00:00.000Z,USD,JOLTs Job Openings,1,
2023-11-01T18:00:00.000Z,USD,Fed Interest Rate Decision,1,
2023-11-01T18:30:00.000Z,USD,Fed Press Conference,1,
2023-11-02T00:30:00.000Z,AUD,Balance of Trade,1,
2023-11-02T08:00:00.000Z,CHF,Consumer Confidence,1,
2023-11-02T12:00:00.000Z,GBP,BoE Interest Rate Decision,1,
2023-11-03T07:00:00.000Z,EUR,Balance of Trade,1,
2023-11-03T12:30:00.000Z,USD,Non Farm Payrolls,1,
2023-11-03T12:30:00.000Z,USD,Unemployment Rate,1,
2023-11-03T12:30:00.000Z,CAD,Unemployment Rate,1,
2023-11-03T14:00:00.000Z,USD,ISM Services PMI,1,
2023-11-06T15:00:00.000Z,CAD,Ivey PMI s.a,1,
2023-11-07T03:00:00.000Z,CNY,Balance of Trade,1,
2023-11-07T03:30:00.000Z,AUD,RBA Interest Rate Decision,1,
2023-11-08T14:15:00.000Z,USD,Fed Chair Powell Speech,1,
2023-11-09T01:30:00.000Z,CNY,Inflation Rate YoY,1,
2023-11-09T19:00:00.000Z,USD,Fed Chair Powell Speech,1,
2023-11-10T07:00:00.000Z,GBP,GDP MoM,1,
2023-11-10T07:00:00.000Z,GBP,GDP Growth Rate YoY Prel,1,
2023-11-10T07:00:00.000Z,GBP,GDP Growth Rate QoQ Prel,1,
2023-11-10T12:30:00.000Z,EUR,ECB President Lagarde Speech,1,
2023-11-10T15:00:00.000Z,USD,Michigan Consumer Sentiment Prel,1,
2023-11-13T23:30:00.000Z,AUD,Westpac Consumer Confidence Change,1,
2023-11-14T00:30:00.000Z,AUD,NAB Business Confidence,1,
2023-11-14T07:00:00.000Z,GBP,Unemployment Rate,1,
2023-11-14T10:00:00.000Z,EUR,ZEW Economic Sentiment Index,1,
2023-11-14T13:30:00.000Z,USD,Inflation Rate MoM,1,
2023-11-14T13:30:00.000Z,USD,Core Inflation Rate MoM,1,
2023-11-14T13:30:00.000Z,USD,Inflation Rate YoY,1,
2023-11-14T13:30:00.000Z,USD,Core Inflation Rate YoY,1,
2023-11-14T23:50:00.000Z,JPY,GDP Growth Annualized Prel,1,
2023-11-14T23:50:00.000Z,JPY,GDP Growth Rate QoQ Prel,1,
2023-11-15T02:00:00.000Z,CNY,Retail Sales YoY,1,
2023-11-15T02:00:00.000Z,CNY,Industrial Production YoY,1,
2023-11-15T07:00:00.000Z,GBP,Inflation Rate YoY,1,
2023-11-15T13:30:00.000Z,USD,PPI MoM,1,
2023-11-15T13:30:00.000Z,USD,Retail Sales MoM,1,
2023-11-15T23:50:00.000Z,JPY,Balance of Trade,1,
2023-11-17T07:00:00.000Z,GBP,Retail Sales MoM,1,
2023-11-17T13:30:00.000Z,USD,Building Permits Prel,1,
2023-11-21T00:30:00.000Z,AUD,RBA Meeting Minutes,1,
2023-11-21T13:30:00.000Z,CAD,Inflation Rate YoY,1,
2023-11-21T19:00:00.000Z,USD,FOMC Minutes,1,
2023-11-22T12:30:00.000Z,GBP,Autumn Statement,1,
2023-11-22T13:30:00.000Z,USD,Durable Goods Orders MoM,1,
2023-11-23T08:30:00.000Z,EUR,HCOB Manufacturing PMI Flash,1,
2023-11-23T23:30:00.000Z,JPY,Inflation Rate YoY,1,
2023-11-24T09:00:00.000Z,EUR,Ifo Business Climate,1,
2023-11-28T07:00:00.000Z,EUR,GfK Consumer Confidence,1,
2023-11-29T13:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-11-29T13:30:00.000Z,USD,GDP Growth Rate QoQ 2nd Est,1,
2023-11-30T01:30:00.000Z,CNY,NBS Manufacturing PMI,1,
2023-11-30T07:45:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-11-30T10:00:00.000Z,EUR,Inflation Rate YoY Flash,1,
2023-11-30T10:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2023-11-30T12:00:00.000Z,INR,GDP Growth Rate YoY,1,
2023-11-30T13:30:00.000Z,CAD,GDP Growth Rate QoQ,1,
2023-11-30T13:30:00.000Z,USD,Core PCE Price Index MoM,1,
2023-11-30T13:30:00.000Z,USD,Personal Spending MoM,1,
2023-11-30T13:30:00.000Z,USD,Personal Income MoM,1,
2023-12-01T01:45:00.000Z,CNY,Caixin Manufacturing PMI,1,
2023-12-01T13:30:00.000Z,CAD,Unemployment Rate,1,
2023-12-01T15:00:00.000Z,USD,ISM Manufacturing PMI,1,
2023-12-01T16:00:00.000Z,USD,Fed Chair Powell Speech,1,
2023-12-04T07:00:00.000Z,EUR,Balance of Trade,1,
2023-12-05T03:30:00.000Z,AUD,RBA Interest Rate Decision,1,
2023-12-05T15:00:00.000Z,USD,JOLTs Job Openings,1,
2023-12-05T15:00:00.000Z,USD,ISM Services PMI,1,
2023-12-06T00:30:00.000Z,AUD,GDP Growth Rate QoQ,1,
2023-12-06T15:00:00.000Z,CAD,Ivey PMI s.a,1,
2023-12-07T00:30:00.000Z,AUD,Balance of Trade,1,
2023-12-07T03:00:00.000Z,CNY,Balance of Trade,1,
2023-12-08T13:30:00.000Z,USD,Unemployment Rate,1,
2023-12-08T13:30:00.000Z,USD,Non Farm Payrolls,1,
2023-12-08T15:00:00.000Z,USD,Michigan Consumer Sentiment Prel,1,
2023-12-09T01:30:00.000Z,CNY,Inflation Rate YoY,1,
2023-12-11T23:30:00.000Z,AUD,Westpac Consumer Confidence Change,1,
2023-12-12T00:30:00.000Z,AUD,NAB Business Confidence,1,
2023-12-12T07:00:00.000Z,GBP,Unemployment Rate,1,
2023-12-12T10:00:00.000Z,EUR,ZEW Economic Sentiment Index,1,
2023-12-12T13:30:00.000Z,USD,Inflation Rate MoM,1,
2023-12-12T13:30:00.000Z,USD,Core Inflation Rate MoM,1,
2023-12-12T13:30:00.000Z,USD,Core Inflation Rate YoY,1,
2023-12-12T13:30:00.000Z,USD,Inflation Rate YoY,1,
2023-12-12T23:50:00.000Z,JPY,Tankan Large Manufacturers Index,1,
2023-12-13T07:00:00.000Z,GBP,GDP MoM,1,
2023-12-13T13:30:00.000Z,USD,PPI MoM,1,
2023-12-13T19:00:00.000Z,USD,Fed Interest Rate Decision,1,
2023-12-13T19:00:00.000Z,USD,FOMC Economic Projections,1,
2023-12-13T19:30:00.000Z,USD,Fed Press Conference,1,
2023-12-14T12:00:00.000Z,GBP,BoE Interest Rate Decision,1,
2023-12-14T13:15:00.000Z,EUR,ECB Interest Rate Decision,1,
2023-12-14T13:30:00.000Z,USD,Retail Sales MoM,1,
2023-12-14T13:45:00.000Z,EUR,ECB Press Conference,1,
2023-12-15T02:00:00.000Z,CNY,Industrial Production YoY,1,
2023-12-15T02:00:00.000Z,CNY,Retail Sales YoY,1,
2023-12-15T08:30:00.000Z,EUR,HCOB Manufacturing PMI Flash,1,
2023-12-18T09:00:00.000Z,EUR,Ifo Business Climate,1,
2023-12-19T00:30:00.000Z,AUD,RBA Meeting Minutes,1,
2023-12-19T03:00:00.000Z,JPY,BoJ Interest Rate Decision,1,
2023-12-19T13:30:00.000Z,USD,Building Permits Prel,1,
2023-12-19T13:30:00.000Z,CAD,Inflation Rate YoY,1,
2023-12-19T23:50:00.000Z,JPY,Balance of Trade,1,
2023-12-20T07:00:00.000Z,GBP,Inflation Rate YoY,1,
2023-12-20T07:00:00.000Z,EUR,GfK Consumer Confidence,1,
2023-12-21T13:30:00.000Z,USD,GDP Growth Rate QoQ Final,1,
2023-12-21T23:30:00.000Z,JPY,Inflation Rate YoY,1,
2023-12-22T07:00:00.000Z,GBP,Retail Sales MoM,1,
2023-12-22T13:30:00.000Z,USD,Core PCE Price Index MoM,1,
2023-12-22T13:30:00.000Z,USD,Personal Income MoM,1,
2023-12-22T13:30:00.000Z,USD,Personal Spending MoM,1,
2023-12-22T13:30:00.000Z,USD,Durable Goods Orders MoM,1,
2023-12-31T01:30:00.000Z,CNY,NBS Manufacturing PMI,1,
2024-01-02T01:45:00.000Z,CNY,Caixin Manufacturing PMI,1,
2024-01-03T15:00:00.000Z,USD,ISM Manufacturing PMI,1,
2024-01-03T15:00:00.000Z,USD,JOLTs Job Openings,1,
2024-01-03T19:00:00.000Z,USD,FOMC Minutes,1,
2024-01-04T07:45:00.000Z,EUR,Inflation Rate YoY Prel,1,
2024-01-04T13:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2024-01-05T05:00:00.000Z,JPY,Consumer Confidence,1,
2024-01-05T10:00:00.000Z,EUR,Inflation Rate YoY Flash,1,
2024-01-05T10:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2024-01-05T13:30:00.000Z,CAD,Unemployment Rate,1,
2024-01-05T13:30:00.000Z,USD,Non Farm Payrolls,1,
2024-01-05T15:00:00.000Z,CAD,Ivey PMI s.a,1,
2024-01-05T15:00:00.000Z,USD,ISM Services PMI,1,
2024-01-08T07:00:00.000Z,EUR,Balance of Trade,1,
2024-01-09T13:30:00.000Z,CAD,Balance of Trade,1,
2024-01-11T00:30:00.000Z,AUD,Balance of Trade,1,
2024-01-11T13:30:00.000Z,USD,Inflation Rate MoM,1,
2024-01-11T13:30:00.000Z,USD,Core Inflation Rate MoM,1,
2024-01-11T13:30:00.000Z,USD,Inflation Rate YoY,1,
2024-01-11T13:30:00.000Z,USD,Core Inflation Rate YoY,1,
2024-01-12T01:30:00.000Z,CNY,Inflation Rate YoY,1,
2024-01-12T03:00:00.000Z,CNY,Balance of Trade,1,
2024-01-12T07:00:00.000Z,GBP,GDP MoM,1,
2024-01-12T13:30:00.000Z,USD,PPI MoM,1,
2024-01-15T09:00:00.000Z,EUR,Full Year GDP Growth,1,
2024-01-15T23:30:00.000Z,AUD,Westpac Consumer Confidence Change,1,
2024-01-16T07:00:00.000Z,GBP,Unemployment Rate,1,
2024-01-16T10:00:00.000Z,EUR,ZEW Economic Sentiment Index,1,
2024-01-16T13:30:00.000Z,CAD,Inflation Rate YoY,1,
2024-01-17T02:00:00.000Z,CNY,Industrial Production YoY,1,
2024-01-17T02:00:00.000Z,CNY,GDP Growth Rate YoY,1,
2024-01-17T07:00:00.000Z,GBP,Inflation Rate YoY,1,
2024-01-17T13:30:00.000Z,USD,Retail Sales MoM,1,
2024-01-18T13:30:00.000Z,USD,Building Permits Prel,1,
2024-01-18T23:30:00.000Z,JPY,Inflation Rate YoY,1,
2024-01-19T07:00:00.000Z,GBP,Retail Sales MoM,1,
2024-01-19T15:00:00.000Z,USD,Michigan Consumer Sentiment Prel,1,
2024-01-23T00:30:00.000Z,AUD,NAB Business Confidence,1,
2024-01-23T03:00:00.000Z,JPY,BoJ Interest Rate Decision,1,
2024-01-23T23:50:00.000Z,JPY,Balance of Trade,1,
2024-01-24T08:30:00.000Z,EUR,HCOB Manufacturing PMI Flash,1,
2024-01-24T14:45:00.000Z,CAD,BoC Interest Rate Decision,1,
2024-01-24T14:45:00.000Z,CAD,BoC Monetary Policy Report,1,
2024-01-25T09:00:00.000Z,EUR,Ifo Business Climate,1,
2024-01-25T13:15:00.000Z,EUR,ECB Interest Rate Decision,1,
2024-01-25T13:15:00.000Z,EUR,Deposit Facility Rate,1,
2024-01-25T13:30:00.000Z,USD,Durable Goods Orders MoM,1,
2024-01-25T13:30:00.000Z,USD,GDP Growth Rate QoQ Adv,1,
2024-01-25T13:45:00.000Z,EUR,ECB Press Conference,1,
2024-01-26T07:00:00.000Z,EUR,GfK Consumer Confidence,1,
2024-01-26T13:30:00.000Z,USD,Core PCE Price Index MoM,1,
2024-01-26T13:30:00.000Z,USD,Personal Income MoM,1,
2024-01-26T13:30:00.000Z,USD,Personal Spending MoM,1,
2024-01-30T06:30:00.000Z,EUR,GDP Growth Rate YoY Prel,1,
2024-01-30T06:30:00.000Z,EUR,GDP Growth Rate QoQ Prel,1,
2024-01-30T09:00:00.000Z,EUR,GDP Growth Rate QoQ Flash,1,
2024-01-30T09:00:00.000Z,EUR,GDP Growth Rate YoY Flash,1,
2024-01-30T09:00:00.000Z,EUR,GDP Growth Rate QoQ Adv,1,
2024-01-30T09:00:00.000Z,EUR,GDP Growth Rate YoY Adv,1,
2024-01-30T10:00:00.000Z,EUR,GDP Growth Rate QoQ Flash,1,
2024-01-30T10:00:00.000Z,EUR,GDP Growth Rate YoY Flash,1,
2024-01-30T15:00:00.000Z,USD,JOLTs Job Openings,1,
2024-01-31T00:30:00.000Z,AUD,Inflation Rate YoY,1,
2024-01-31T01:30:00.000Z,CNY,NBS Manufacturing PMI,1,
2024-01-31T05:00:00.000Z,JPY,Consumer Confidence,1,
2024-01-31T07:45:00.000Z,EUR,Inflation Rate YoY Prel,1,
2024-01-31T13:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2024-01-31T19:00:00.000Z,USD,Fed Interest Rate Decision,1,
2024-01-31T19:30:00.000Z,USD,Fed Press Conference,1,
2024-02-01T01:45:00.000Z,CNY,Caixin Manufacturing PMI,1,
2024-02-01T10:00:00.000Z,EUR,Inflation Rate YoY Flash,1,
2024-02-01T10:00:00.000Z,EUR,Inflation Rate YoY Prel,1,
2024-02-01T12:00:00.000Z,GBP,BoE Interest Rate Decision,1,
2024-02-01T15:00:00.000Z,USD,ISM Manufacturing PMI,1,
2024-02-02T13:30:00.000Z,USD,Unemployment Rate,1,
2024-02-02T13:30:00.000Z,USD,Non Farm Payrolls,1,
2024-02-05T00:30:00.000Z,AUD,Balance of Trade,1,
2024-02-05T07:00:00.000Z,EUR,Balance of Trade,1,
2024-02-05T15:00:00.000Z,USD,ISM Services PMI,1,
2024-02-06T03:30:00.000Z,AUD,RBA Interest Rate Decision,1,
2024-02-06T15:00:00.000Z,CAD,Ivey PMI s.a,1,
2024-02-07T13:30:00.000Z,CAD,Balance of Trade,1,
2024-02-08T01:30:00.000Z,CNY,Inflation Rate YoY,1,
2024-02-09T13:30:00.000Z,CAD,Unemployment Rate,1,
2024-02-12T23:30:00.000Z,AUD,Westpac Consumer Confidence Change,1,
2024-02-13T00:30:00.000Z,AUD,NAB Business Confidence,1,
2024-02-13T07:00:00.000Z,GBP,Unemployment Rate,1,
2024-02-13T10:00:00.000Z,EUR,ZEW Economic Sentiment Index,1,
2024-02-13T13:30:00.000Z,USD,Core Inflation Rate MoM,1,
2024-02-13T13:30:00.000Z,USD,Inflation Rate MoM,1,
2024-02-13T13:30:00.000Z,USD,Inflation Rate YoY,1,
2024-02-13T13:30:00.000Z,USD,Core Inflation Rate YoY,1,
2024-02-14T07:00:00.000Z,GBP,Inflation Rate YoY,1,
2024-02-14T23:50:00.000Z,JPY,GDP Growth Rate QoQ Prel,1,
2024-02-15T07:00:00.000Z,GBP,GDP Growth Rate QoQ Prel,1,
2024-02-15T07:00:00.000Z,GBP,GDP Growth Rate YoY Prel,1,
2024-02-15T07:00:00.000Z,GBP,GDP MoM,1,
2024-02-15T13:30:00.000Z,USD,Retail Sales MoM,1,
2024-02-16T07:00:00.000Z,GBP,Retail Sales MoM,1,
2024-02-16T13:30:00.000Z,USD,PPI MoM,1,
2024-02-16T13:30:00.000Z,USD,Building Permits Prel,1,
2024-02-16T15:00:00.000Z,USD,Michigan Consumer Sentiment Prel,1,
2024-02-20T00:30:00.000Z,AUD,RBA Meeting Minutes,1,
